epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0541,0.84381,3.17734,1.0769,0.2162,0.50625,0.24001,0.19777,0.75789,2.04755,0.96279,0.00017454,0.00017454,0.00017454
2,107.259,0.76642,2.22365,1.01181,0.34921,0.43233,0.36223,0.29567,0.78252,1.75889,0.97286,0.000342946,0.000342946,0.000342946
3,157.02,0.75544,1.96855,1.00005,0.54678,0.44954,0.4627,0.37805,0.78325,1.55102,0.96097,0.000504408,0.000504408,0.000504408
4,207.685,0.74699,1.76081,0.99682,0.53991,0.6047,0.59981,0.49058,0.78992,1.25851,0.94744,0.000494756,0.000494756,0.000494756
5,258.464,0.72121,1.54243,0.97859,0.66904,0.61937,0.65461,0.54489,0.72554,1.23462,0.93819,0.000484341,0.000484341,0.000484341
6,311.282,0.70002,1.40581,0.97075,0.80406,0.69587,0.77308,0.65031,0.72779,0.90868,0.93458,0.000473926,0.000473926,0.000473926
7,357.801,0.68061,1.27465,0.96939,0.79235,0.70009,0.78305,0.65374,0.71488,0.88341,0.92381,0.000463511,0.000463511,0.000463511
8,403.023,0.68174,1.20948,0.96593,0.77466,0.71357,0.78186,0.65301,0.72422,0.84151,0.92088,0.000453096,0.000453096,0.000453096
9,447.38,0.66167,1.12883,0.96206,0.83713,0.73888,0.81489,0.68017,0.70085,0.79963,0.91523,0.000442682,0.000442682,0.000442682
10,491.984,0.6563,1.09559,0.95432,0.87934,0.7329,0.84158,0.71113,0.69517,0.73546,0.91818,0.000432267,0.000432267,0.000432267
11,537.434,0.6543,1.01856,0.95559,0.83914,0.80002,0.85627,0.71968,0.68151,0.69525,0.90819,0.000421852,0.000421852,0.000421852
12,583.397,0.65424,1.00237,0.95249,0.86895,0.77156,0.8545,0.71834,0.70693,0.66906,0.9144,0.000411437,0.000411437,0.000411437
13,630.478,0.64237,0.96353,0.94894,0.88116,0.78661,0.87079,0.72885,0.69471,0.65503,0.91449,0.000401022,0.000401022,0.000401022
14,677.066,0.63386,0.9286,0.94514,0.88072,0.81067,0.87879,0.74184,0.66347,0.61909,0.90134,0.000390608,0.000390608,0.000390608
15,722.062,0.62071,0.90516,0.94719,0.91663,0.79025,0.88616,0.74832,0.67016,0.5923,0.90006,0.000380193,0.000380193,0.000380193
16,766.406,0.61161,0.86252,0.93854,0.88999,0.81589,0.88857,0.75455,0.66152,0.57873,0.89452,0.000369778,0.000369778,0.000369778
17,811.828,0.61116,0.8576,0.94123,0.92822,0.80388,0.89379,0.75846,0.66203,0.54336,0.89267,0.000359363,0.000359363,0.000359363
18,856.319,0.6066,0.8251,0.93689,0.92974,0.81911,0.9006,0.75655,0.6601,0.54128,0.89291,0.000348948,0.000348948,0.000348948
19,900.902,0.60901,0.82011,0.93956,0.92663,0.8341,0.90599,0.77477,0.63748,0.51156,0.88764,0.000338534,0.000338534,0.000338534
20,945.729,0.61226,0.78597,0.93532,0.93563,0.85052,0.9135,0.77302,0.64378,0.51228,0.89096,0.000328119,0.000328119,0.000328119
21,990.184,0.59533,0.77192,0.93561,0.91569,0.85073,0.91211,0.7715,0.6369,0.49036,0.88416,0.000317704,0.000317704,0.000317704
22,1033.93,0.5919,0.74409,0.92887,0.88932,0.8442,0.9058,0.76776,0.64221,0.51058,0.88905,0.000307289,0.000307289,0.000307289
23,1078,0.59801,0.74267,0.9288,0.93064,0.86186,0.91656,0.77363,0.65425,0.46929,0.89252,0.000296874,0.000296874,0.000296874
24,1122.5,0.58759,0.73616,0.9261,0.93372,0.852,0.91411,0.77924,0.62917,0.4696,0.8789,0.00028646,0.00028646,0.00028646
25,1167.26,0.57549,0.71727,0.92846,0.9323,0.8475,0.91665,0.78079,0.62915,0.45502,0.88068,0.000276045,0.000276045,0.000276045
26,1213.01,0.57865,0.70646,0.92381,0.9285,0.86732,0.92226,0.78246,0.62617,0.44796,0.87759,0.00026563,0.00026563,0.00026563
27,1257.59,0.57826,0.69274,0.92463,0.94329,0.83738,0.91644,0.77853,0.63353,0.46067,0.87824,0.000255215,0.000255215,0.000255215
28,1301.74,0.57912,0.70127,0.92819,0.94536,0.83546,0.92222,0.78614,0.61086,0.44695,0.87543,0.0002448,0.0002448,0.0002448
29,1345.68,0.56639,0.6637,0.92082,0.93951,0.86082,0.92738,0.79115,0.61667,0.42287,0.87555,0.000234386,0.000234386,0.000234386
30,1389.67,0.55778,0.67362,0.92116,0.94377,0.87397,0.9283,0.79028,0.62344,0.4212,0.87812,0.000223971,0.000223971,0.000223971
31,1435.16,0.55765,0.67023,0.92092,0.94133,0.86548,0.93065,0.79156,0.6141,0.41102,0.8766,0.000213556,0.000213556,0.000213556
32,1479.78,0.55479,0.63504,0.9213,0.9513,0.87137,0.93174,0.79227,0.62656,0.40436,0.87625,0.000203141,0.000203141,0.000203141
33,1524.58,0.5499,0.63171,0.91914,0.9298,0.88603,0.93117,0.79359,0.61715,0.41339,0.87103,0.000192726,0.000192726,0.000192726
34,1568.38,0.55073,0.63003,0.91686,0.9391,0.87586,0.93127,0.79417,0.60959,0.40074,0.87136,0.000182312,0.000182312,0.000182312
35,1611.18,0.55006,0.59995,0.9142,0.96388,0.8529,0.93067,0.79188,0.61917,0.40339,0.87749,0.000171897,0.000171897,0.000171897
36,1653.66,0.53945,0.60347,0.91497,0.94485,0.88276,0.93959,0.79892,0.60461,0.37952,0.8696,0.000161482,0.000161482,0.000161482
37,1696.43,0.53779,0.6083,0.91768,0.94185,0.88837,0.93731,0.80058,0.61061,0.38593,0.87232,0.000151067,0.000151067,0.000151067
38,1739.09,0.53795,0.59609,0.91658,0.9548,0.88757,0.94322,0.80293,0.60837,0.38182,0.87341,0.000140652,0.000140652,0.000140652
39,1781.84,0.54543,0.59662,0.91653,0.94879,0.87245,0.93967,0.80202,0.60435,0.38577,0.86938,0.000130238,0.000130238,0.000130238
40,1825.57,0.53715,0.58767,0.91071,0.94111,0.87691,0.94287,0.79711,0.61266,0.37997,0.87364,0.000119823,0.000119823,0.000119823
41,1868.1,0.5269,0.3949,0.86172,0.93175,0.89044,0.94052,0.80313,0.60322,0.37996,0.86919,0.000109408,0.000109408,0.000109408
42,1911.15,0.5226,0.38235,0.85472,0.9443,0.88407,0.93854,0.80096,0.61058,0.38015,0.87457,9.89932e-05,9.89932e-05,9.89932e-05
43,1953.51,0.51338,0.36392,0.8607,0.94825,0.88921,0.9439,0.80245,0.60265,0.37402,0.87219,8.85784e-05,8.85784e-05,8.85784e-05
44,1994.82,0.51705,0.36399,0.85305,0.93091,0.89033,0.94793,0.80813,0.58838,0.36783,0.86765,7.81636e-05,7.81636e-05,7.81636e-05
45,2036.31,0.50782,0.355,0.85305,0.95164,0.88445,0.94408,0.80926,0.58736,0.36451,0.86812,6.77488e-05,6.77488e-05,6.77488e-05
46,2077.27,0.49796,0.34807,0.85264,0.93546,0.89235,0.94451,0.8121,0.58719,0.36428,0.86918,5.7334e-05,5.7334e-05,5.7334e-05
47,2119.87,0.49498,0.33647,0.8546,0.95487,0.88167,0.94333,0.81469,0.58616,0.35031,0.86669,4.69192e-05,4.69192e-05,4.69192e-05
48,2161.68,0.49651,0.33587,0.8517,0.94006,0.89528,0.94587,0.81544,0.58793,0.3555,0.86671,3.65044e-05,3.65044e-05,3.65044e-05
49,2203.01,0.49336,0.33133,0.8509,0.94844,0.88743,0.94696,0.8154,0.58374,0.35524,0.86603,2.60896e-05,2.60896e-05,2.60896e-05
50,2242.91,0.48629,0.32694,0.84619,0.95512,0.87811,0.94426,0.81229,0.5865,0.35139,0.86659,1.56748e-05,1.56748e-05,1.56748e-05
